#歌ID,決まり字,歌人,上の句,下の句,上の句（ひらがな）,下の句（ひらがな）,上の句（よみがな）,下の句（よみがな）
28,やまざ,源宗于朝臣,山里は冬ぞ寂しさまさりける,人目も草もかれぬと思へば,やまざとはふゆぞさびしさまさりける,ひとめもくさもかれぬとおもへば,やまざとはふゆぞさびしさまさりける,ひとめもくさもかれぬとおもえば
29,こころあ,凡河内躬恒,心あてに折らばや折らむ初霜の,置きまどはせる白菊の花,こころあてにをらばやをらむはつしもの,おきまどはせるしらぎくのはな,こころあてにおらばやをらんはつしもの,おきまどわせるしらぎくのはな
30,ありあ,壬生忠岑,有明のつれなく見えし別れより,暁ばかり憂きものはなし,ありあけのつれなくみえしわかれより,あかつきばかりうきものはなし,ありあけのつれなくみえしわかれより,あかつきばかりうきものはなし
31,あさぼらけあ,坂上是則,朝ぼらけ有明の月と見るまでに,吉野の里に降れる白雪,あさぼらけありあけのつきとみるまでに, よしののさとに ふれるしらゆき,あさぼらけありあけのつきとみるまでに, よしののさとにふれるしらゆき
32,やまが,春道列樹,山川に風のかけたるしがらみは,流れもあへぬ紅葉なりけり,やまがはにかぜのかけたるしがらみは,ながれもあへぬもみぢなりけり,やまがわにかぜのかけたるしがらみは,ながれもあえぬもみじなりけり
33,ひさ,紀友則,ひさかたの光のどけき春の日に,しづ心なく花の散るらむ,ひさかたのひかりのどけきはるのひに,しづこころなくはなのちるらむ,ひさかたのひかりのどけきはるのひに,しずこころなくはなのちるらん
34,たれ,藤原興風,誰をかも知る人にせむ高砂の,松も昔の友ならなくに,たれをかもしるひとにせむたかさごの,まつもむかしのともならなくに,たれをかもしるひとにせむたかさごの,まつもむかしのともならなくに
35,ひとは,紀貫之,人はいさ心も知らずふるさとは,花ぞ昔の香に匂ひける,ひとはいさこころもしらずふるさとは,はなぞむかしのかににほひける,ひとはいさこころもしらずふるさとは,はなぞむかしのかににおいける
36,なつ,清原深養父,夏の夜はまだ宵ながら明けぬるを,雲のいずこに月宿るらむ,なつのよはまだよひながらあけぬるを,くものいづこにつきやどるらむ,なつのよはまだよいながらあけぬるを,くものいずこにつきやどるらん
37,しら,文屋朝康,白露に風の吹きしく秋の野は,つらぬきとめぬ玉ぞ散りける,しらつゆにかぜのふきしくあきののは,つらぬきとめぬたまぞちりける,しらつゆにかぜのふきしくあきののは,つらぬきとめぬたまぞちりける
38,わすら,右近,忘らるる身をば思はず誓ひてし,人の命の惜しくもあるかな,わすらるるみをばおもはずちかひてし,ひとのいのちのをしくもあるかな,わすらるるみをばおもわずちかいてし,ひとのいのちのおしくもあるかな
39,あさじ,参議等,浅茅生の小野の篠原忍ぶれど,あまりてなどか人の恋しき,あさぢふのをののしのはらしのぶれど,あまりてなどかひとのこひしき,あさぢうのおののしのはらしのぶれど,あまりてなどかひとのこいしき
40,しの,平兼盛,忍ぶれど色に出でにけりわが恋は,ものや思ふと人の問ふまで,しのぶれどいろにいでにけりわがこひは,ものやおもふとひとのとふまで,しのぶれどいろにいでにけりわがこいは,ものやおもうとひとのとうまで
41,こい,壬生忠見,恋すてふわが名はまだき立ちにけり,人知れずこそ思ひそめしか,こひすてふわがなはまだきたちにけり,ひとしれずこそおもひそめしか,こいすちょうわがなはまだきたちにけり,ひとしれずこそおもいそめしか
42,ちぎりき,清原元輔,契りきなかたみに袖をしぼりつつ,末の松山波越さじとは,ちぎりきなかたみにそでをしぼりつつ,すゑのまつやまなみこさじとは,ちぎりきなかたみにそでをしぼりつつ,すえのまつやまなみこさじとは
43,あい,権中納言敦忠,逢ひ見ての後の心にくらぶれば,昔はものを思はざりけり,あひみてののちのこころにくらぶれば,むかしはものをおもはざりけり,あいみてののちのこころにくらぶれば,むかしはものをおもわざりけり
44,おおこ,中納言朝忠,逢ふことの絶えてしなくはなかなかに,人をも身をも恨みざらまし,あふことのたえてしなくはなかなかに,ひとをもみをもうらみざらまし,おおことのたえてしなくはなかなかに,ひとをもみをもうらみざらまし
45,あはれ,謙徳公,あはれともいふべき人は思ほえで,身のいたずらになりぬべきかな,あはれともいふべきひとはおもほえで,みのいたづらになりぬべきかな,あわれともいうべきひとはおもおえで,みのいたずらになりぬべきかな
46,ゆら,曾禰好忠,由良の戸を渡る舟人かぢをたえ,ゆくへも知らぬ恋の道かな,ゆらのとをわたるふなびとかぢをたえ,ゆくへもしらぬこひのみちかな,ゆらのとをわたるふなびとかじをたえ,ゆくえもしらぬこいのみちかな
47,やえ,恵慶法師,八重むぐら茂れる宿のさびしきに,人こそ見えね秋は来にけり,やへむぐらしげれるやどのさびしきに,ひとこそみえねあきはきにけり,やえむぐらしげれるやどのさびしきに,ひとこそみえねあきはきにけり
48,かぜを,源重之,風をいたみ岩うつ波のおのれのみ,くだけてものを思ふころかな,かぜをいたみいはうつなみのおのれのみ,くだけてものをおもふころかな,かぜをいたみいわうつなみのおのれのみ,くだけてものをおもうころかな
49,みかき,大中臣能宣,御垣守衛士のたく火の夜は燃え,昼は消えつつものをこそ思へ,みかきもりゑじのたくひのよるはもえ,ひるはきえつつものをこそおもへ,みかきもりえじのたくひのよるはもえ,ひるはきえつつものをこそおもえ
50,きみがためお,藤原義孝,君がため惜しからざりし命さへ,長くもがなと思ひけるかな,きみがためをしからざりしいのちさへ,ながくもがなとおもひけるかな,きみがためおしからざりしいのちさえ,ながくもがなとおもいけるかな
51,かく,藤原実方朝臣,かくとだにえやはいぶきのさしも草,さしも知らじな燃ゆる思ひを,かくとだにえやはいぶきのさしもぐさ,さしもしらじなもゆるおもひを,かくとだにえやはいぶきのさしもぐさ,さしもしらじなもゆるおもいを
52,あけ,藤原道信朝臣,明けぬれば暮るるものとは知りながら,なほ恨めしき朝ぼらけかな,あけぬればくるるものとはしりながら,なほうらめしきあさぼらけかな,あけぬればくるるものとはしりながら,なおうらめしきあさぼらけかな
53,なげき,右大将道綱母,嘆きつつひとり寝る夜の明くる間は,いかに久しきものとかは知る,なげきつつひとりぬるよのあくるまは,いかにひさしきものとかはしる,なげきつつひとりぬるよのあくるまは,いかにひさしきものとかはしる
54,わすれ,儀同三司母,忘れじの行く末まではかたければ,今日をかぎりの命ともがな,わすれじのゆくすゑまではかたければ,けふをかぎりのいのちともがな,わすれじのゆくすえまではかたければ,きょうをかぎりのいのちともがな
55,たき,大納言公任,滝の音は絶えて久しくなりぬれど,名こそ流れてなほ聞こえけれ,たきのおとはたえてひさしくなりぬれど,なこそながれてなほきこえけれ,たきのおとはたえてひさしくなりぬれど,なこそながれてなおきこえけれ
56,あらざ,和泉式部,あらざらむこの世のほかの思ひ出に,今ひとたびの逢ふこともがな,あらざらむこのよのほかのおもひでに,いまひとたびのあふこともがな,あらざらんこのよのほかのおもいでに,いまひとたびのおおこともがな
57,め,紫式部,めぐり逢ひて見しやそれとも分かぬ間に,雲隠れにし夜半の月かな,めぐりあひてみしやそれともわかぬまに,くもがくれにしよはのつきかな,めぐりあひてみしやそれともわかぬまに,くもがくれにしよはのつきかな
58,ありま,大弐三位,有馬山猪名の笹原風吹けば,いでそよ人を忘れやはする,ありまやまゐなのささはらかぜふけば,いでそよひとをわすれやはする,ありまやまいなのささはらかぜふけば,いでそよひとをわすれやはする
59,やす,赤染衛門,やすらはで寝なましものを小夜更けて,かたぶくまでの月を見しかな,やすらはでねなましものをさよふけて,かたぶくまでのつきをみしかな,やすらわでねなましものをさよふけて,かたぶくまでのつきをみしかな
60,おおえ,小式部内侍,大江山いく野の道の遠ければ,まだふみも見ず天の橋立,おほえやまいくののみちのとほければ,まだふみもみずあまのはしだて,おおえやまいくののみちのとおければ,まだふみもみずあまのはしだて
61,いに,伊勢大輔,いにしへの奈良の都の八重桜,けふ九重に匂ひぬるかな,いにしへのならのみやこのやへざくら,けふここのへににほひぬるかな,いにしえのならのみやこのやへざくら,きょうここのえににおいぬるかな
62,よを,清少納言,夜をこめて鳥のそら音ははかるとも,よに逢坂の関はゆるさじ,よをこめてとりのそらねははかるとも,よにあふさかのせきはゆるさじ,よをこめてとりのそらねははかるとも,よにおおさかのせきはゆるさじ
63,いまは,左京大夫道雅,今はただ思ひ絶えなむとばかりを,人づてならでいふよしもがな,いまはただおもひたえなむとばかりを,ひとづてならでいふよしもがな,いまはただおもいたえなんとばかりを,ひとずてならでいうよしもがな
64,あさぼらけう,権中納言定頼,朝ぼらけ宇治の川霧たえだえに,あらはれわたる瀬々の網代木,あさぼらけうぢのかはぎりたえだえに,あらはれわたるせぜのあじろぎ,あさぼらけうじのかわぎりたえだえに,あらわれわたるせぜのあじろぎ
65,うら,相模,恨みわび干さぬ袖だにあるものを,恋に朽ちなむ名こそ惜しけれ,うらみわびほさぬそでだにあるものを,こひにくちなむなこそをしけれ,うらみわびほさぬそでだにあるものを,こいにくちなんなこそをしけれ
66,もろ,前大僧正行尊,もろともにあはれと思え山桜,花よりほかに知る人もなし,もろともにあはれとおもへやまざくら,はなよりほかにしるひともなし,もろともにあわれとおもえやまざくら,はなよりほかにしるひともなし
67,はるの,周防内侍,春の夜の夢ばかりなる手枕に,かひなく立たむ名こそ惜しけれ,はるのよのゆめばかりなるたまくらに,かひなくたたむなこそをしけれ,はるのよのゆめばかりなるたまくらに,かいなくたたんなこそおしけれ
68,こころに,三条院,心にもあらで憂き夜にながらへば,恋しかるべき夜半の月かな,こころにもあらでうきよにながらへば,こひしかるべきよはのつきかな,こころにもあらでうきよにながらへば,こいしかるべきよわのつきかな
69,あらし,能因法師,嵐ふく三室の山のもみぢ葉は,竜田の川の錦なりけり,あらしふくみむろのやまのもみぢばは,たつたのかはのにしきなりけり,あらしふくみむろのやまのもみじばは,たつたのかわのにしきなりけり
70,さ,良暹法師,寂しさに宿を立ち出でてながむれば,いづこも同じ秋の夕暮れ,さびしさにやどをたちいでてながむれば,いづこもおなじあきのゆふぐれ,さびしさにやどをたちいでてながむれば,いずこもおなじあきのゆうぐれ
71,ゆう,大納言経信,夕されば門田の稲葉おとづれて,葦のまろやに秋風ぞ吹く,ゆふさればかどたのいなばおとづれて,あしのまろやにあきかぜぞふく,ゆうさればかどたのいなばおとずれて,あしのまろやにあきかぜぞふく
72,おと,祐子内親王家紀伊,音に聞く高師の浜のあだ波は,かけじや袖のぬれもこそすれ,おとにきくたかしのはまのあだなみは,かけじやそでのぬれもこそすれ,おとにきくたかしのはまのあだなみは,かけじやそでのぬれもこそすれ
73,たか,権中納言匡房,高砂の尾の上の桜咲きにけり,外山の霞立たずもあらなむ,たかさごのをのへのさくらさきにけり,とやまのかすみたたずもあらなむ,たかさごのおのへのさくらさきにけり,とやまのかすみたたずもあらなん
74,うか,源俊頼朝臣,憂かりける人を初瀬の山おろしよ,はげしかれとは祈らぬものを,うかりけるひとをはつせのやまおろしよ,はげしかれとはいのらぬものを,うかりけるひとをはつせのやまおろしよ,はげしかれとはいのらぬものを
75,ちぎりお,藤原基俊,契りおきしさせもが露を命にて,あはれ今年の秋もいぬめり,ちぎりおきしさせもがつゆをいのちにて,あはれことしのあきもいぬめり,ちぎりおきしさせもがつゆをいのちにて,あわれことしのあきもいぬめり
76,わたのはらこ,法性寺入道前関白太政大臣,わたの原漕ぎ出でて見ればひさかたの,雲居にまがふ沖つ白波,わたのはらこぎいでてみればひさかたの,くもゐにまがふおきつしらなみ,わたのはらこぎいでてみればひさかたの,くもいにまごうおきつしらなみ
77,せ,崇徳院,瀬をはやみ岩にせかるる滝川の,われても末に逢はむとぞ思ふ,せをはやみいはにせかるるたきがはの,われてもすゑにあはむとぞおもふ,せをはやみいわにせかるるたきがわの,われてもすえにあはんとぞおもう
78,あはじ,源兼昌,淡路島通ふ千鳥の鳴く声に,いく夜寝覚めぬ須磨の関守,あはぢしまかよふちどりのなくこゑに,いくよねざめぬすまのせきもり,あはじしまかようちどりのなくこえに,いくよねざめぬすまのせきもり
79,あきか,左京大夫顕輔,秋風にたなびく雲のたえ間より,もれ出づる月の影のさやけさ,あきかぜにたなびくくものたえまより,もれいづるつきのかげのさやけさ,あきかぜにたなびくくものたえまより,もれいずるつきのかげのさやけさ
80,ながか,待賢門院堀河,ながからむ心も知らず黒髪の,乱れてけさはものをこそ思へ,ながからむこころもしらずくろかみの,みだれてけさはものをこそおもへ,ながからんこころもしらずくろかみの,みだれてけさはものをこそおもえ
81,ほ,後徳大寺左大臣,ほととぎす鳴きつる方をながむれば,ただ有明の月ぞ残れる,ほととぎすなきつるかたをながむれば,ただありあけのつきぞのこれる,ほととぎすなきつるかたをながむれば,ただありあけのつきぞのこれる
82,おも,道因法師,思ひわびさても命はあるものを,憂きに堪へぬは涙なりけり,おもひわびさてもいのちはあるものを,うきにたへぬはなみだなりけり,おもいわびさてもいのちはあるものを,うきにたえぬはなみだなりけり
83,よのなかよ,皇太后宮大夫俊成,世の中よ道こそなけれ思ひ入る,山の奥にも鹿ぞ鳴くなる,よのなかよみちこそなけれおもひいる,やまのおくにもしかぞなくなる,よのなかよみちこそなけれおもいいる,やまのおくにもしかぞなくなる
84,ながら,藤原清輔朝臣,ながらへばまたこのごろやしのばれむ,憂しと見し世ぞ今は恋しき,ながらへばまたこのごろやしのばれむ,うしとみしよぞいまはこひしき,ながらえばまたこのごろやしのばれん,うしとみしよぞいまはこいしき
85,よも,俊恵法師,夜もすがらもの思ふころは明けやらで,ねやのひまさへつれなかりけり,よもすがらものおもふころはあけやらで,ねやのひまさへつれなかりけり,よもすがらものおもうころはあけやらで,ねやのひまさえつれなかりけり
86,なげけ,西行法師,嘆けとて月やはものを思はする,かこち顔なるわが涙かな,なげけとてつきやはものをおもはする,かこちがほなるわがなみだかな,なげけとてつきやはものをおもわする,かこちがおなるわがなみだかな
87,む,寂蓮法師,村雨の露もまだ干ぬまきの葉に,霧立ちのぼる秋の夕暮,むらさめのつゆもまだひぬまきのはに,きりたちのぼるあきのゆふぐれ,むらさめのつゆもまだひぬまきのはに,きりたちのぼるあきのゆうぐれ
88,なにわえ,皇嘉門院別当,難波江の葦のかりねのひとよゆゑ,身をつくしてや恋ひわたるべき,なにはえのあしのかりねのひとよゆゑ,みをつくしてやこひわたるべき,なにわえのあしのかりねのひとよゆえ,みをつくしてやこいわたるべき
89,たま,式子内親王,玉の緒よ絶えなば絶えねながらへば,忍ぶることの弱りもぞする,たまのをよたえなばたえねながらへば,しのぶることのよわりもぞする,たまのをよたえなばたえねながらえば,しのぶることのよわりもぞする
90,みせ,殷富門院大輔,見せばやな雄島の海人の袖だにも,濡れにぞ濡れし色は変はらず,みせばやなをじまのあまのそでだにも,ぬれにぞぬれしいろはかはらず,みせばやなおじまのあまのそでだにも,ぬれにぞぬれしいろはかはらず
91,きり,後京極摂政前太政大臣,きりぎりす鳴くや霜夜のさむしろに,衣かたしきひとりかも寝む,きりぎりすなくやしもよのさむしろに,ころもかたしきひとりかもねむ,きりぎりすなくやしもよのさむしろに,ころもかたしきひとりかもねん
92,わがそ,二条院讃岐,わが袖は潮干に見えぬ沖の石の,人こそ知らねかわく間もなし,わがそではしほひにみえぬおきのいしの,ひとこそしらねかわくまもなし,わがそではしおひにみえぬおきのいしの,ひとこそしらねかわくまもなし
93,よのなかは,鎌倉右大臣,世の中は常にもがもな渚漕ぐ,海人の小舟の綱手かなしも,よのなかはつねにもがもななぎさこぐ,あまのをぶねのつなでかなしも,よのなかはつねにもがもななぎさこぐ,あまのをぶねのつなでかなしも
94,みよ,参議雅経,み吉野の山の秋風小夜更けて,ふるさと寒く衣うつなり,みよしののやまのあきかぜさよふけて,ふるさとさむくころもうつなり,みよしののやまのあきかぜさよふけて,ふるさとさむくころもうつなり
95,おおけ,前大僧正慈円,おほけなく憂き世の民におほふかな,わが立つ杣にすみ染の袖,おほけなくうきよのたみにおほふかな,わがたつそまにすみぞめのそで,おおけなくうきよのたみにおおうかな,わがたつそまにすみぞめのそで
96,はなさ,入道前太政大臣,花さそふ嵐の庭の雪ならで,ふりゆくものはわが身なりけり,はなさそふあらしのにはのゆきならで,ふりゆくものはわがみなりけり,はなさそうあらしのにわのゆきならで,ふりゆくものはわがみなりけり
97,こぬ,権中納言定家,来ぬ人を松帆の浦の夕なぎに,焼くや藻塩の身もこがれつつ,こぬひとをまつほのうらのゆふなぎに,やくやもしほのみもこがれつつ,こぬひとをまつほのうらのゆうなぎに,やくやもしおのみもこがれつつ
98,かぜそ,従二位家隆,風そよぐ楢の小川の夕暮は,みそぎぞ夏のしるしなりける,かぜそよぐならのをがはのゆふぐれは,みそぎぞなつのしるしなりける,かぜそよぐならのおがわのゆうぐれは,みそぎぞなつのしるしなりける
99,ひとも,後鳥羽院,人もをし人もうらめしあじきなく,世を思ふゆゑにもの思ふ身は,ひともをしひともうらめしあぢきなく,よをおもふゆゑにものおもふみは,ひともおしひともうらめしあぢきなく,よをおもうゆえにものおもうみは
100,もも,順徳院,百敷や古き軒端のしのぶにも,なほあまりある昔なりけり,ももしきやふるきのきばのしのぶにも,なほあまりあるむかしなりけり,ももしきやふるきのきばのしのぶにも,なおあまりあるむかしなりけり
